author_id,retweet_count,reply_count,like_count,followers_count,num_tweets
101341751,1,0,0,0.0,0.0
1019653598,13,0,9,0.0,0.0
102348909,2,0,0,0.0,0.0
103017676,1,1,1,0.0,69.0
105824613,0,1,0,0.0,0.0
1068950834,21,1,25,0.0,0.0
1069367702,0,0,0,0.0,2.0
109051038,1,0,1,0.0,0.0
1101058794,1,0,2,0.0,0.0
110759328,9,0,8,0.0,0.0
1110672696,4,3,7,0.0,0.0
1123168830,0,0,0,0.0,0.0
112789944,5,0,6,0.0,0.0
11492932,0,0,1,0.0,0.0
11537,2,0,0,0.0,0.0
1158273668,1,0,1,0.0,0.0
116731276,3,0,4,0.0,0.0
119092676,1,0,1,0.0,0.0
1195467361,0,0,0,0.0,0.0
120065608,0,0,0,0.0,0.0
121158213,0,0,0,0.0,0.0
1214591359,0,0,0,0.0,0.0
123751572,0,0,0,0.0,0.0
125848560,0,1,0,0.0,0.0
1275351,1,0,0,0.0,0.0
132925528,2,0,0,0.0,39.0
133243009,0,1,3,0.0,0.0
13583002,2,0,3,0.0,0.0
1361722422,33,4,42,0.0,0.0
1376161898,1,0,1,0.0,0.0
1388071068,2,0,1,0.0,0.0
1396553156,2,1,3,0.0,0.0
1399148563,64,8,39,0.0,0.0
1402032307,1,0,1,0.0,0.0
14109747,0,0,0,0.0,0.0
14124010,0,0,2,0.0,0.0
14128528,11,1,16,0.0,0.0
14196745,0,0,1,0.0,0.0
14197865,1,1,3,0.0,0.0
14217906,0,0,0,0.0,0.0
1424217499,0,0,0,0.0,0.0
14256728,1,0,0,0.0,0.0
14292343,3,0,4,0.0,0.0
14295211,33,3,46,0.0,0.0
142998242,4,0,8,0.0,0.0
14317294,4,0,13,0.0,0.0
14337718,0,0,1,0.0,0.0
14351921,2,0,3,0.0,0.0
1444429448,3,0,6,0.0,0.0
14592709,1,1,2,0.0,0.0
1463450342,2,0,3,0.0,0.0
1466055199,0,0,1,0.0,0.0
1471835582,0,0,0,0.0,0.0
147528021,0,0,2,0.0,0.0
14769640,1,1,5,0.0,0.0
149156547,7,1,6,0.0,0.0
149370826,0,0,0,0.0,0.0
1512098635,1,1,4,0.0,77.0
15180815,4,1,9,0.0,0.0
15238591,0,0,1,0.0,0.0
15306235,3,0,0,0.0,0.0
15314090,0,0,0,0.0,0.0
15351305,37,7,37,0.0,32.0
15499924,0,0,2,0.0,0.0
15519304,1,1,1,0.0,0.0
1562625614,28,1,47,0.0,0.0
15630224,1,0,2,0.0,0.0
